,total,cash,cash,QQQ,QQQ,QQQ,QQQ,SCHD,SCHD,SCHD,SCHD,DGRW,DGRW,DGRW,DGRW
,value,value,weight,price,number,value,weight,price,number,value,weight,price,number,value,weight
date,,,,,,,,,,,,,,,
2013-05-22,10000,0,0,73.62,67.916327,5000.0,50.0,11.28,265.957447,3000.0,30.0,24.9,80.321285,2000.0,20.0
2013-05-23,9974.0497906,0.0,0.0,73.45,67.916327,4988.45421815,50.0143304162302,11.25,265.957447,2992.02127875,29.99805837714804,24.82,80.321285,1993.5742937,19.98761120662176
2013-05-24,9976.65228646,0.0,0.0,73.41,67.916327,4985.73756507,49.97405363958095,11.27,265.957447,2997.34042769,30.043549094698797,24.82,80.321285,1993.5742937,19.98239726572025
2013-05-28,10044.736614559999,0.0,0.0,73.89,67.916327,5018.33740203,49.95987047341633,11.34,265.957447,3015.95744898,30.025251678658492,25.03,80.321285,2010.4417635500001,20.01487784792519
2013-05-29,9968.47081338,0.0,0.0,73.54,67.916327,4994.56668758,50.10363957605346,11.2,265.957447,2978.7234064,29.881447838537706,24.84,80.321285,1995.1807194,20.014912585408837
2013-05-30,10005.096606950001,100.0,0.999490598926705,73.93,67.916327,5021.05405511,50.184963247852544,11.22,265.957447,2984.04255534,29.825224808595518,24.9,80.321285,1999.9999965,19.989811943551928
2013-05-31,9994.92350204,100.0,1.0005079076352075,73.25,67.916327,4974.87095275,49.77397727691073,11.07,265.957447,2944.14893829,29.45644294014945,24.6,80.321285,1975.9036110000002,19.76907187530461
2013-06-03,10035.9708592,100.0,0.9964158067311419,73.38,67.916327,4983.70007526,49.65837530996245,11.17,265.957447,2970.74468299,29.60096959893731,24.67,80.321285,1981.5261009500002,19.744239284369087
2013-06-04,9994.45514404,100.0,1.0005547932208498,73.0,67.916327,4957.891871,49.60642475799737,11.12,265.957447,2957.44681064,29.590875820815672,24.64,80.321285,1979.1164624,19.80214462796612
2013-06-05,9864.58814106,100.0,1.0137270666553595,72.05,67.916327,4893.371360349999,49.605429951829514,10.98,265.957447,2920.21276806,29.602987233749918,24.29,80.321285,1951.00401265,19.777855747765205
2013-06-06,9914.75806938,200.0,2.017194959276567,72.4,67.916327,4917.1420748,49.594171036666395,11.04,265.957447,2936.17021488,29.61413878516965,24.42,80.321285,1961.4457797000002,19.783092698525678
2013-06-07,10151.60772561,200.0,1.9701312876328876,73.39,67.916327,4984.379238529999,49.0994074362787,11.19,265.957447,2976.06383193,29.316182346389585,24.79,80.321285,1991.16465515,19.614278929698823
2013-06-10,10149.62915117,200.0,1.9705153461389766,73.42,67.916327,4986.41672834,49.12905342719039,11.19,265.957447,2976.06383193,29.32189725953617,24.74,80.321285,1987.1485909,19.578533967134465
2013-06-11,10062.7093797,200.0,1.9875362832545862,72.69,67.916327,4936.837809629999,49.06072135591361,11.11,265.957447,2954.7872361699997,29.36373420592706,24.54,80.321285,1971.0843339,19.588008154904742
2013-06-12,9972.33487651,200.0,2.0055483743441402,71.85,67.916327,4879.7880949499995,48.9332554048543,11.03,265.957447,2933.5106404099997,29.41648747997756,24.39,80.321285,1959.03614115,19.644708740823997
2013-06-13,10088.54358752,300.0,2.9736700584920306,72.76,67.916327,4941.59195252,48.982213434979656,11.15,265.957447,2965.42553405,29.393990404307413,24.67,80.321285,1981.5261009500002,19.641349455051575
2013-06-14,10134.86368563,300.0,2.9600792798561604,72.28,67.916327,4908.99211556,48.43668615415471,11.11,265.957447,2954.7872361699997,29.154681580567555,24.54,80.321285,1971.0843339,19.44855298542157
2013-06-17,10217.33632874,300.0,2.9361860111831706,72.98,67.916327,4956.53354446,48.511014857345295,11.19,265.957447,2976.06383193,29.127589972336825,24.71,80.321285,1984.73895235,19.425209159134702
2013-06-18,10290.35776468,300.0,2.9153505335810754,73.58,67.916327,4997.283340659999,48.56277551216316,11.26,265.957447,2994.68085322,29.10181474446652,24.88,80.321285,1998.3935708,19.420059209789233
2013-06-19,10164.5540122,300.0,2.9514329860407567,72.76,67.916327,4941.59195252,48.61592497407025,11.09,265.957447,2949.46808723,29.017191346417192,24.57,80.321285,1973.49397245,19.415450693471794
2013-06-20,9929.46712335,400.0,4.028413559669939,71.03,67.916327,4824.09670681,48.58364146718125,10.82,265.957447,2877.65957654,28.98100714561948,24.0,80.321285,1927.7108400000002,19.414041217446822
2013-06-21,10028.973308488,415.213257248,4.140137225179222,70.43,67.916327,4783.34691061,47.695280099724904,10.89,265.957447,2896.2765978300004,28.879093689268696,24.08,80.321285,1934.1365428,19.28548898582717
2013-06-24,9940.190958473,438.21227460299997,4.408489499182797,69.73,67.916327,4735.80548171,47.64300305190021,10.73,265.957447,2853.72340631,28.70893947844625,23.81,80.321285,1912.4497958499999,19.23956797047074
2013-06-25,10002.030711963,438.21227460299997,4.381233043794527,70.24,67.916327,4770.442808479999,47.69474265635154,10.79,265.957447,2869.68085313,28.69098221921772,23.95,80.321285,1923.69477575,19.2330420806362
2013-06-26,10097.866361633,438.21227460299997,4.3396521493688445,70.87,67.916327,4813.23009449,47.66581297587719,10.92,265.957447,2904.25532124,28.76107899659638,24.18,80.321285,1942.1686713000001,19.233455878157592
2013-06-27,10139.321324663,538.212274603,5.308168637420005,71.17,67.916327,4833.60499259,47.671878992854126,10.96,265.957447,2914.89361912,28.748409541275503,24.31,80.321285,1952.6104383499999,19.257802133170866
2013-06-28,10218.910530643,538.212274603,5.26682637047351,71.27,67.916327,4840.396625289999,47.36705161255022,10.9,265.957447,2898.9361723,28.368348696341823,24.17,80.321285,1941.3654584500002,18.997773320634455
