,cagr,stdev,mdd,beta,alpha,ratio,b_r,s_r
0,13.884669778529112,12.264476104900425,12.82844877134775,0.7583969542251946,-1.0133310637805786,30.0:49.0:21.0,1.0,1.0
1,11.781015518283322,13.176459313681264,18.760531750585464,0.7349915603159891,-0.45617421553165727,30.0:49.0:21.0,1.0,1.0
2,10.779475955053863,18.51843803712996,31.044882011675206,0.8183616018066695,-3.0043506872478867,30.0:49.0:21.0,1.0,1.0
3,20.348411927599486,18.666137930679284,31.071435113215358,0.7693691990858699,-0.16464421795145123,30.0:49.0:21.0,1.0,1.0
4,14.800677750545344,19.555912626230594,31.127451367358233,0.7336676515658838,1.7094480506235716,30.0:49.0:21.0,1.0,1.0
5,12.579587197030007,20.64626641576822,31.11635051438151,0.7229920333829211,0.4627190018405558,30.0:49.0:21.0,1.0,1.0
6,15.791266356213928,20.109567272170445,31.044887601372338,0.7182625806458037,0.2930960343349137,30.0:49.0:21.0,1.0,1.0
7,14.99210726590725,16.43878033905236,21.687598710860446,0.6128490984839222,3.0321756005602274,30.0:49.0:21.0,1.0,1.0
8,12.516154112556865,15.209471869443938,21.5751071269121,0.6084528854482674,0.6136182854903096,30.0:49.0:21.0,1.0,1.0
0,13.973121736046924,12.29189335011517,12.82648526537532,0.7602088317165143,-0.9626221021429598,30.0:49.0:21.0,1.0,2.0
1,11.817391532684663,13.197654636091741,18.75613378729783,0.7362198653297667,-0.4383880045700242,30.0:49.0:21.0,1.0,2.0
2,10.805692723221028,18.55256486440018,31.0978956310536,0.8198628037292826,-2.9977995616445154,30.0:49.0:21.0,1.0,2.0
3,20.34618304136828,18.724759807369786,31.19953345525768,0.7717559708868277,-0.21208417597764206,30.0:49.0:21.0,1.0,2.0
4,14.806148109279004,19.596360354858447,31.20610150388366,0.7351351234172838,1.6982319049158008,30.0:49.0:21.0,1.0,2.0
5,12.593965502476667,20.690836175022493,31.176974895951936,0.7245983835020414,0.45928974352170415,30.0:49.0:21.0,1.0,2.0
6,15.776144385426182,20.15165258328682,31.097904344479964,0.7199054726853755,0.2561831618933613,30.0:49.0:21.0,1.0,2.0
7,15.030352070119623,16.491077722059067,21.79979670138876,0.6147437294163915,3.0442993476935296,30.0:49.0:21.0,1.0,2.0
