,cagr,stdev,mdd,beta,alpha,ratio,b_r,s_r
0,94.91948300020599,16.259640365166778,10.313582235870197,0.8568677141946452,7.185246452033322,30.0:49.0:21.0,1.0,1.0
1,92.47556826005217,16.75796158731039,15.161099488593276,0.8292078056350453,9.413655668494902,30.0:49.0:21.0,1.0,1.0
2,92.03515540108363,21.627703177855107,29.863912648019458,0.8766529894567894,4.240740763534712,30.0:49.0:21.0,1.0,1.0
3,102.76111249994236,21.30416568924426,29.766795149834714,0.8280369055850819,9.832464672694597,30.0:49.0:21.0,1.0,1.0
4,94.56611204070431,21.96548116798274,28.835682908979983,0.7882832280711821,13.596432519014689,30.0:49.0:21.0,1.0,1.0
5,92.08295015537527,23.586640413652628,27.422593253581663,0.7860681234170172,12.584625188023345,30.0:49.0:21.0,1.0,1.0
6,95.28127865190197,22.36681306719051,23.839094212165875,0.7728125581224439,12.95406610614923,30.0:49.0:21.0,1.0,1.0
7,91.75040783330954,19.330860748539937,14.623357482476854,0.6887553918255037,18.020148651333805,30.0:49.0:21.0,1.0,1.0
8,97.53741849684484,18.859478730694722,14.355188370414066,0.7035973647049464,16.849321128019678,30.0:49.0:21.0,1.0,1.0
0,94.93392719479007,16.26201564457466,10.313548092179769,0.8570418351637329,7.181081059052863,30.0:49.0:21.0,1.0,2.0
1,92.46129973555594,16.762297969371527,15.197809299084831,0.8294606689937379,9.389944813982654,30.0:49.0:21.0,1.0,2.0
2,92.05078665013129,21.63022757686786,29.880611646401718,0.8767819616676581,4.240408980348764,30.0:49.0:21.0,1.0,2.0
3,102.78507559226652,21.30306990584945,29.78225607593523,0.8280014486578381,9.846299468414744,30.0:49.0:21.0,1.0,2.0
4,94.58368050188855,21.97655908136726,28.824255416158774,0.7887161833408945,13.578319051897259,30.0:49.0:21.0,1.0,2.0
5,92.12509082849365,23.5995697786145,27.422661652626363,0.786600274339223,12.57300862189471,30.0:49.0:21.0,1.0,2.0
6,95.29739725905235,22.379998362420185,23.839094212165875,0.7733525872398641,12.926519725816988,30.0:49.0:21.0,1.0,2.0
7,91.81455979813349,19.335477306322396,14.580688848852189,0.6890339327201185,18.03708337037274,30.0:49.0:21.0,1.0,2.0
8,97.55411233477354,18.86744554574046,14.39471447308238,0.7039528828171755,16.832643237419553,30.0:49.0:21.0,1.0,2.0
0,94.92623807229326,16.264122453620587,10.313548092179769,0.8571849439588757,7.167558115047534,30.0:49.0:21.0,1.0,3.0
1,92.44052198240928,16.766026280058735,15.231131796671177,0.8296971002910459,9.363778889401553,30.0:49.0:21.0,1.0,3.0
2,92.04371137652039,21.63798939197034,29.874435887182845,0.8770879583130659,4.216970410780707,30.0:49.0:21.0,1.0,3.0
3,102.85065566819532,21.317319282209795,29.780682326546533,0.8285921950417093,9.838264535251229,30.0:49.0:21.0,1.0,3.0
4,94.61444616665375,21.998467411317296,28.897323894272965,0.7894974549723561,13.546022645954714,30.0:49.0:21.0,1.0,3.0
5,92.10995185771694,23.62153385865721,27.422661652626363,0.7874799673098201,12.510646135054248,30.0:49.0:21.0,1.0,3.0
6,95.33527296335032,22.389074535747717,23.839094212165875,0.7737740167282428,12.918217824031853,30.0:49.0:21.0,1.0,3.0
7,91.77624446982391,19.35423837435624,14.748963316759978,0.689759096893466,17.96849536579751,30.0:49.0:21.0,1.0,3.0
8,97.60440872644698,18.87332185999911,14.43510011666781,0.7042988130717464,16.83439793239465,30.0:49.0:21.0,1.0,3.0
0,94.9274393702574,16.264443346675318,10.313548092179769,0.8572022401653446,7.166534493085885,30.0:49.0:21.0,1.0,4.0
