,cagr,stdev,mdd,beta,alpha,ratio
0,93.6669507891644,15.996865209156036,10.001319318875012,0.8130460843984275,9.521380304840598,00.0:00.0:100.0
1,91.00563962961992,16.38544749796885,14.356033862016703,0.7795570105735634,11.930970221199932,00.0:00.0:100.0
2,89.12252691994928,21.023819906649948,29.93202388762919,0.8285802426763651,5.976366247444864,00.0:00.0:100.0
3,97.58437646504402,20.671701837614474,30.08176886261003,0.7787908692514315,10.78048490022928,00.0:00.0:100.0
4,91.97753052946163,20.935417549492,29.134247111599613,0.7207159791397364,16.581657469780765,00.0:00.0:100.0
5,91.85096543785815,22.29120392278051,27.706682167120068,0.7100951266555183,17.42825009298803,00.0:00.0:100.0
6,95.20697774322313,21.14260759667165,23.910888385346105,0.6978745565920388,17.92867839085226,00.0:00.0:100.0
7,92.42091598581862,17.908293343636323,12.843014615344691,0.6095973328397585,23.544683071228807,00.0:00.0:100.0
8,94.81952871195006,17.670205192717773,12.96998210174861,0.6351416480078997,20.44073059170214,00.0:00.0:100.0
0,93.42177523795992,15.944764005825048,10.105352251889318,0.8087997268009637,9.679123841226978,00.0:10.0:90.0
1,90.99216480601926,16.30118203490183,14.13948247553054,0.7736379743355598,12.30576707841482,00.0:10.0:90.0
2,88.70904899374126,21.10573628147104,30.476789598342023,0.8298636511309162,5.689616015274623,00.0:10.0:90.0
3,97.93462461496311,20.651999985423,30.14527009709952,0.7730856864904159,11.381676617264446,00.0:10.0:90.0
4,92.3131773650231,20.984830378358765,29.50727745447626,0.7164306500099984,17.056621615828536,00.0:10.0:90.0
5,91.35310118579815,22.321835354829332,27.823707418282478,0.7061117808784775,17.43776616899947,00.0:10.0:90.0
6,95.04089906662598,21.10692255583818,24.118225765414984,0.6911861666348991,18.323892379210594,00.0:10.0:90.0
7,91.92289150550856,17.864574733518033,12.648186584960477,0.5998238757176583,23.962642342856654,00.0:10.0:90.0
8,94.77543913409814,17.552072770047662,12.486129414674988,0.6232984817179893,21.2122396591968,00.0:10.0:90.0
0,93.36623742021783,15.883264922255597,9.900480364618392,0.804441114385042,9.938631317588909,00.0:20.0:80.0
1,90.94255417329435,16.233297527404904,13.945090332080351,0.7682613141810718,12.627886698723078,00.0:20.0:80.0
2,89.03134891320153,20.944249807557384,30.08483432519828,0.8217997035367507,6.391556689182654,00.0:20.0:80.0
3,98.22821329354392,20.62813628506469,30.181618404520194,0.7664462766335329,12.022197414433588,00.0:20.0:80.0
4,92.59914117219894,20.994211948160576,29.62018510729731,0.7107927668816311,17.58986701582724,00.0:20.0:80.0
5,91.21499403035429,22.36284342171123,27.677036826106328,0.7021587615134613,17.637835907296978,00.0:20.0:80.0
6,94.51982745398999,21.135776356139043,24.15057884040169,0.6857092384982709,18.464493588688025,00.0:20.0:80.0
7,91.28322015266592,17.816111163992197,12.454877164158475,0.5888670357792432,24.372041462413126,00.0:20.0:80.0
8,94.78123996281194,17.521037155089374,12.275693622146328,0.6139827399369393,21.8501902380805,00.0:20.0:80.0
0,93.27577397881717,15.827045780854801,9.86330847495248,0.7994635008209832,10.22469041118892,00.0:30.0:70.0
1,90.93673890895519,16.164139429420445,13.782751898957413,0.7623538310203727,13.009377272909262,00.0:30.0:70.0
2,88.82979838915719,20.947840978445154,30.322407193574662,0.8194035875114002,6.454202244628715,00.0:30.0:70.0
3,98.6513728737686,20.646127059551215,30.2461589993587,0.760871195392248,12.657323782063202,00.0:30.0:70.0
4,93.04677608703904,20.95217877720341,29.512025295417168,0.7031911463363983,18.330485241461385,00.0:30.0:70.0
5,91.13168387823225,22.346313128323523,27.845502028809392,0.695727560398959,18.02180652029053,00.0:30.0:70.0
6,94.13700541061671,21.170753121607948,24.207633408572864,0.680135616667107,18.683637558524126,00.0:30.0:70.0
7,90.83186074707548,17.86678260402735,12.483098099229716,0.580524343550285,24.7403732841684,00.0:30.0:70.0
8,94.67125754034677,17.48210306092764,12.028551208749844,0.6032251676790186,22.528062911380985,00.0:30.0:70.0
0,93.03433514637842,15.774021291836803,9.816342686471673,0.794456644584821,10.434268495838428,00.0:40.0:60.0
1,90.87937602749925,16.113065596213936,13.763834576232394,0.756822380941487,13.338948160639363,00.0:40.0:60.0
2,88.82473283942343,20.858398269400936,30.12318566730507,0.8137095217201727,6.83547188261543,00.0:40.0:60.0
3,98.90949816053309,20.70308715976293,30.423042681465994,0.7560253236179219,13.16057360226729,00.0:40.0:60.0
4,93.52212485396454,20.931989237326334,29.3045543730078,0.6955355607932018,19.091944621164377,00.0:40.0:60.0
5,91.16927673184728,22.43238064038783,27.906896813165773,0.6923110535607314,18.2854874783886,00.0:40.0:60.0
6,93.78257150653708,21.191438381369437,24.03639771192517,0.6735473151109719,18.986811124300353,00.0:40.0:60.0
7,90.3993670383804,17.91248716605301,12.140318535113252,0.5709236680342924,25.19716651358348,00.0:40.0:60.0
8,94.41886580631001,17.501112106841752,12.143085425704045,0.5939513110109641,23.03772320779509,00.0:40.0:60.0
0,92.8828308145697,15.737226398117052,9.770017165014867,0.7900484579527841,10.65301377010538,00.0:50.0:50.0
1,90.82227191386676,16.069489553192113,13.493427656461076,0.7519919873152544,13.627472746213797,00.0:50.0:50.0
2,88.5679519440499,20.856273096672247,30.393355985735838,0.8107366561663347,6.90756951450846,00.0:50.0:50.0
3,99.2081203731775,20.677147804662578,30.47332600647931,0.7484585036130691,13.871660221474913,00.0:50.0:50.0
4,93.54022790213546,21.035510556730053,29.74801369880924,0.6915975595376895,19.388403079980105,00.0:50.0:50.0
5,90.9893759152157,22.49686236697287,28.014283827358266,0.6874430662714228,18.530465570440413,00.0:50.0:50.0
6,93.62629736221547,21.26937395852369,24.436226817228622,0.667667142562714,19.3537772305178,00.0:50.0:50.0
7,90.04764978399903,17.96584376182291,12.173488538983525,0.560592547380748,25.744215425053202,00.0:50.0:50.0
8,94.33959405658305,17.518036812153078,11.80981843355834,0.5833429843637654,23.726452494064738,00.0:50.0:50.0
0,92.57398324752373,15.724358725303583,9.823785716240128,0.7864685355703193,10.734981501434948,00.0:60.0:40.0
1,90.69040178594922,16.005623999308575,13.438061375454883,0.745076540875778,14.010080049255969,00.0:60.0:40.0
2,88.30303957982741,20.892591106519856,30.778088078332623,0.8089126640103276,6.905319425282519,00.0:60.0:40.0
3,99.44831245708232,20.716067502088745,30.52361905162138,0.7421800983537431,14.470431773826286,00.0:60.0:40.0
4,94.13543979593295,21.11537117151302,29.879933098692067,0.6861744865398673,20.080023436136862,00.0:60.0:40.0
5,90.86513802581105,22.563839595505808,28.157230218802642,0.682141083260107,18.83572750571218,00.0:60.0:40.0
6,93.22135838691335,21.339341246478668,24.43049852435772,0.6617079244157172,19.595955451070946,00.0:60.0:40.0
7,89.54794029664292,18.059090962728703,12.192453417018406,0.5513183057123994,26.138326065714924,00.0:60.0:40.0
8,94.21304472267218,17.582464083981336,12.049426761267247,0.5734601259462547,24.356307132055814,00.0:60.0:40.0
0,92.39574505602013,15.705788321215202,9.95813525341623,0.782078756507466,10.940754522728524,00.0:70.0:30.0
1,90.68761871085256,15.985450143584993,13.158547491723487,0.7403415495648823,14.322802626693798,00.0:70.0:30.0
2,88.23341105816,20.825892029785173,30.630581151650897,0.8031121026647063,7.261488565540885,00.0:70.0:30.0
3,99.7157971340369,20.77431113777661,30.674768029357597,0.7355922005402916,15.106442840204648,00.0:70.0:30.0
4,94.28031411794021,21.195209069703864,29.923194530389146,0.6803902491531463,20.562042467133224,00.0:70.0:30.0
5,90.26751419570398,22.612113266555006,28.004631468326853,0.6757735475189324,18.957665737655176,00.0:70.0:30.0
6,92.59764061719713,21.450158182575976,24.533620509822498,0.656016873995439,19.711821538476894,00.0:70.0:30.0
7,89.1128818773242,18.14990119769574,11.977788660271365,0.5400373448077914,26.71920487443386,00.0:70.0:30.0
8,93.92661938106643,17.65727414404204,12.208198029431781,0.563295514725703,24.920437414901482,00.0:70.0:30.0
0,92.25462091351633,15.692747853881503,9.974064022584809,0.7776929961904635,11.1658478591931,00.0:80.0:20.0
1,90.4857601219152,15.94345024033136,13.016727955606308,0.7339888281273663,14.634293479555405,00.0:80.0:20.0
2,88.16777831180585,20.890197641774876,30.723749974074106,0.8018371578970028,7.334370104173593,00.0:80.0:20.0
3,99.92201422479188,20.86215781186091,30.823913150990766,0.7302920663651176,15.626422961655207,00.0:80.0:20.0
4,94.37396320525376,21.2935800715849,30.06982973285905,0.6747234805174128,21.015219408081858,00.0:80.0:20.0
5,90.18059075044911,22.723892076940754,28.201899370874735,0.6715746416158711,19.216654642963384,00.0:80.0:20.0
6,92.38329523128097,21.573702808624716,24.035885089643553,0.6506414126607989,20.025997891208153,00.0:80.0:20.0
7,88.77671669302774,18.303900193487742,11.970788091258749,0.5306983707054889,27.227277198311,00.0:80.0:20.0
8,93.78345940821566,17.762291763114,12.36646462746796,0.5528377721742292,25.58859278336544,00.0:80.0:20.0
0,92.13511124975606,15.6540598898842,9.936680925687876,0.771517691717816,11.521416387199723,00.0:90.0:10.0
1,90.46751385334875,15.901967477825801,12.863034384743335,0.7271018785023788,15.076930171332792,00.0:90.0:10.0
2,88.37489757331521,20.82373783464206,30.65616504128641,0.7952788200005939,7.891088073339514,00.0:90.0:10.0
3,100.16721238518294,20.995513649992926,30.942916842412583,0.7256076274372208,16.129216182999993,00.0:90.0:10.0
4,94.64415683700835,21.369855727507286,30.21480878156914,0.6677624148329909,21.643526484233437,00.0:90.0:10.0
5,90.01633874419585,22.84878465895378,28.145266965821737,0.6661343692553467,19.520976976298655,00.0:90.0:10.0
6,91.8902679580967,21.71087670566801,24.11321842235293,0.6448619551626613,20.221547122357226,00.0:90.0:10.0
7,88.13550266265315,18.45064985141954,11.99359157436392,0.519572914944648,27.689174321119335,00.0:90.0:10.0
8,93.76812987642273,17.89127154115605,12.39335647891033,0.5422548331112612,26.31916390732716,00.0:90.0:10.0
0,94.16586825629327,16.029479882620134,9.816917908397027,0.8217575579772615,9.186394426661092,05.0:00.0:95.0
1,91.32751372921466,16.467704289111275,14.599533710532839,0.7913519973775885,11.320062090964067,05.0:00.0:95.0
2,89.73636046212172,21.21548809366873,29.89916128614418,0.8421457908943111,5.3882343829786965,05.0:00.0:95.0
3,98.17081692023595,20.739574842682547,29.932627052917393,0.7904793948119068,10.218716428577713,05.0:00.0:95.0
4,92.1448720873272,21.004843331725617,28.739374751721634,0.7336140126615531,15.81466601360173,05.0:00.0:95.0
5,91.9456232174323,22.451825069108637,27.088939679796308,0.7261499534405959,16.41116332100313,05.0:00.0:95.0
6,95.27797161957585,21.25967775562307,23.688924767488,0.712980959536624,16.91218102085553,05.0:00.0:95.0
7,92.65942847121904,18.131464169887774,13.435566188644563,0.6300490319651929,22.287614759666614,05.0:00.0:95.0
